mac
3c:04:61:fe:1e:81
58:19:f8:2a:ce:a7
a8:97:cd:41:0e:f1
b0:da:f9:3e:5d:c6
d4:04:cd:d6:f3:5d
70:03:7e:e0:7c:e7
fc:51:a4:76:ac:e4
a4:2b:8c:d4:33:60
48:4b:d4:ea:cc:30
98:f7:d7:b8:db:01
3c:04:61:8a:34:53
b0:da:f9:c2:cc:c6
18:b8:1f:b1:8c:a4
90:58:51:26:5c:ff
34:68:95:e9:49:0b
f8:5e:42:8c:cd:1d
d4:b9:2f:47:39:6a
98:52:4a:48:06:51
44:1c:12:54:5d:6b
18:b8:1f:8b:b1:07
48:f7:c0:1e:db:ad
e8:82:5b:4b:0b:96
7c:26:34:76:d8:3a
f8:5e:42:09:17:bc
3c:04:61:cb:b4:fd
dc:eb:69:25:64:a8
a0:ff:70:19:e5:01
08:36:c9:a3:b7:20
b0:da:f9:bc:28:8f
00:40:36:3f:b2:58
7c:26:34:11:75:0c
e0:db:d1:ed:09:88
bc:64:4b:be:4d:bc
10:56:11:26:1a:5c
bc:64:4b:f2:39:03
78:23:ae:1f:fe:ec
dc:ef:09:8c:12:90
f4:c1:14:23:07:c6
90:58:51:f1:00:dd
78:23:ae:22:2d:98
d4:b9:2f:57:68:17
b0:da:f9:5c:b9:dc
fc:51:a4:79:99:5e
d4:b9:2f:64:31:23
a4:2b:8c:ac:44:80
48:f7:c0:40:f0:b5
f8:a0:97:50:11:1c
64:12:69:0b:23:ed
98:9d:5d:08:69:20
d4:04:cd:df:79:80
90:58:51:f9:b7:a0
e0:db:d1:d0:98:f2
d4:b9:2f:48:bc:09
44:1c:12:52:51:c9
00:40:36:56:c4:ac
f8:5e:42:8c:db:78
7c:9a:54:79:01:08
38:70:0c:74:ca:7b
3c:df:a9:e8:51:ea
d4:b9:2f:67:b9:0b
84:17:ef:1a:30:65
9c:ad:97:e4:37:e5
5c:76:95:18:f2:01
7c:9a:54:9d:0b:4d
44:6a:b7:b0:7b:39
d4:b9:2f:57:15:47
10:33:bf:58:a1:d9
e0:db:d1:bb:97:86
44:1c:12:4b:ae:dc
2c:7e:81:dc:60:82
50:6a:03:d6:4d:68
f4:c1:14:0d:3e:0a
10:33:bf:fb:d4:10
e0:db:d1:c1:72:82
48:4b:d4:e9:fb:02
80:d0:4a:e1:73:26
2c:95:69:65:03:eb
2c:1d:b8:f6:4d:99
5c:76:95:18:04:cc
d4:b9:2f:4f:2b:4d
5c:76:95:35:f9:8c
44:1c:12:82:42:b0
bc:9b:68:ac:ce:9e
5c:76:95:3b:20:01
f4:4b:2a:48:f5:c5
f4:c1:14:02:ed:83
20:f1:9e:1b:2e:de
44:1c:12:55:a4:14
b0:da:f9:08:cb:4b
94:a6:7e:d1:57:cc
5c:76:95:3a:54:c8
58:96:30:4e:af:6e
80:d0:4a:02:c2:72
54:a6:5c:a6:44:1a
f4:c1:14:09:8e:7c
f4:c1:14:14:2f:17
54:a6:5c:a4:79:05
f4:0e:83:d0:ad:39
2c:30:33:85:2e:98
e4:bf:fa:73:c4:0a
80:d0:4a:77:6b:a0
18:b8:1f:93:75:ef
c0:c5:22:00:fc:57
e0:db:d1:bf:5b:79
58:96:30:52:5f:79
08:a7:c0:a3:f0:ba
